Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10
1;-33;-91;-95;-23;-43;25;-10;-59;91;22
1;-98;-20;-47;-24;-26;69;-99;95;10;-83
1;-42;91;-80;-47;-72;94;-49;1;69;-38
0;17;44;60;43;-6;22;-16;-96;38;45
0;5;-25;-91;57;-97;-42;3;-47;29;56
0;32;90;-49;-70;-13;82;46;-66;-47;21
1;44;44;-47;73;14;-40;15;-78;-5;-52
1;87;-66;-76;63;-70;-50;-42;81;5;99
1;41;-25;-5;51;48;-70;-97;45;57;1
1;66;-26;-67;-57;-25;58;-17;87;44;48
1;62;-78;27;-97;44;-38;78;-94;-50;14
1;-19;99;62;-39;84;-94;-92;45;-89;92
1;-69;18;-61;-85;-78;98;60;-22;-30;86
0;-90;-49;-47;-77;-25;4;48;28;22;31
1;-36;-18;-37;-19;10;-73;-16;-92;71;46
0;-9;-98;-38;-80;78;-76;-21;64;-79;-1
0;54;4;59;-100;31;-10;-77;-54;-50;14
0;25;-9;-96;13;-98;-85;36;87;-32;75
1;-87;74;-81;-87;14;69;-17;3;23;-66
1;-93;-42;-14;-9;-60;46;99;-30;-61;38
1;83;95;3;85;-38;87;4;-15;37;-33
1;21;-6;-25;60;-55;-16;-14;39;-81;-71
1;-53;-71;-47;-24;53;38;-68;69;-56;26
1;-63;-43;-42;38;-39;5;-87;-19;11;37
0;78;65;-28;-99;-12;-78;-19;-94;-13;61
1;-35;-79;75;-66;35;44;-60;-40;-58;35
0;-70;74;-22;-20;-62;-11;-90;-61;65;93
1;-41;18;-57;93;-49;38;-10;-17;59;-55
0;-63;87;79;14;42;-41;-26;-85;23;35
1;-63;24;-57;-69;-66;3;-10;-65;4;-49
0;30;-19;-55;-12;-62;91;-27;82;-81;64
1;55;-43;-11;-51;19;-74;45;29;-57;-10
0;-73;16;3;-37;86;98;-87;66;60;-77
1;25;-94;3;-54;5;53;-64;82;100;12
1;8;-42;98;78;16;19;-55;7;35;-22
0;80;100;-52;80;-35;-31;35;-7;-87;68
1;65;41;-97;46;-88;-49;0;-89;26;-75
1;7;20;82;-41;-70;-94;-89;5;70;-56
1;-32;-2;39;74;-13;20;0;53;-69;3
0;-74;-35;-83;-39;-22;-3;-13;69;-13;31
1;-83;-34;-80;-98;30;-8;-92;83;-46;-20
1;-29;-76;-99;29;-81;-60;27;-63;68;-46
0;62;-87;-53;43;-82;-60;-19;74;-87;98
0;-79;1;-34;10;-80;-7;100;-50;19;37
1;-79;63;-57;24;-43;30;-26;72;26;75
1;-100;-47;-80;-76;25;72;0;-55;-27;31
0;-54;48;15;7;91;-8;55;-42;-50;86
1;68;-73;-7;-5;21;-76;-32;41;53;11
1;60;-33;-26;19;5;-85;-43;53;-6;45
0;60;-77;29;-18;22;-58;59;-98;-32;64
1;-96;94;-45;-38;82;4;6;-71;79;13
0;10;30;9;53;50;-11;3;-67;-100;-83
0;100;67;-24;60;-85;-95;-95;-33;-11;-25
0;-50;34;2;34;62;-27;63;28;-52;-71
0;-36;61;-4;64;-85;42;-83;-21;-61;31
1;11;-80;0;-77;2;85;-68;68;-54;89
1;-84;41;-91;61;57;62;-13;-8;-83;-25
0;-88;51;-51;-42;-27;4;-49;30;88;-18
0;-34;30;26;-47;99;-48;-44;-52;-7;-4
1;-57;-56;3;-40;-63;-42;35;32;-14;13
1;58;-93;-85;-10;44;-77;-98;-33;-64;-49
0;42;-31;-18;83;87;49;16;11;19;62
0;-25;59;71;13;54;-79;-52;55;-11;31
1;41;90;54;29;-56;7;-2;56;29;59
1;98;-90;-78;-94;40;-78;-28;-80;55;49
0;-65;7;-11;16;-58;92;-30;-68;-65;20
1;84;-39;32;-19;-49;-28;-44;37;65;-80
0;-5;20;-35;-1;88;-87;17;7;-19;98
0;24;-75;77;-85;-32;91;-73;-86;-56;62
1;-4;-83;-33;-89;-73;-62;20;81;31;52
1;72;58;-10;-56;-93;34;91;-80;42;-68
0;-13;-74;72;-83;21;-62;-21;19;16;-84
0;-42;41;31;93;-5;17;31;100;-39;81
1;-20;-90;-24;-89;-90;-92;-29;92;20;-96
0;-84;-6;-38;-86;-68;17;50;-68;89;78
1;-78;-15;-26;-32;-23;68;92;6;60;51
1;89;-2;-79;-26;-34;-63;100;-70;30;13
0;52;77;-9;89;-1;-9;-16;-67;-12;45
1;-21;-84;71;52;-33;-99;43;48;-57;63
1;75;66;-33;-70;-18;52;-38;-40;-96;47
0;-32;-85;40;-49;75;-77;23;-95;68;34
1;80;-86;-22;-32;-72;-44;-61;28;84;-99
1;93;47;-79;18;-61;-15;-87;-89;-43;94
1;-86;-78;-71;75;-89;-48;58;-93;-23;65
1;-68;56;-44;-51;-67;-91;-42;19;75;-42
1;-71;-71;-95;-45;20;76;57;88;96;-76
1;82;-39;4;-24;-76;52;-5;-65;-9;85
1;-1;26;-43;-89;-32;-46;52;68;81;-48
0;76;32;73;28;-27;27;-34;76;-41;-28
1;-29;89;51;22;-13;33;100;-37;52;-33
1;-86;-63;14;4;20;-6;40;99;28;-29
1;-23;-61;6;-60;26;1;72;-81;65;-74
0;50;-66;21;-4;-96;-93;-33;11;91;21
1;-95;12;84;91;-75;-36;-79;-16;37;20
0;-19;97;26;-67;-69;-64;-65;2;100;75
0;24;17;-24;-33;87;0;-40;51;-34;-40
0;-39;-19;50;-57;46;-1;90;-88;70;-32
1;23;-71;-66;-44;-94;-91;63;35;26;-35
0;3;-22;100;73;-33;97;39;-3;-62;-17
0;-68;-94;27;41;50;61;0;-58;37;13
1;-20;29;36;33;-50;-83;72;-8;-26;76
1;-23;71;4;-43;76;-84;-99;-84;-41;-62
1;55;-4;-50;38;4;76;-49;-32;26;61
1;-99;15;-80;84;-90;-99;-52;-66;-68;84
0;-85;-72;18;-97;-10;78;60;95;50;19
1;89;-58;-78;55;-79;91;64;-23;-64;87
1;80;-62;29;55;-18;-40;-15;99;-46;41
0;55;80;-77;56;-6;33;30;38;31;15
1;-37;41;-64;72;45;87;2;1;77;62
0;0;-82;26;-85;24;-21;43;92;-24;37
0;63;5;24;-83;88;42;-47;66;-87;-24
0;40;53;43;52;33;-100;-65;-55;7;-71
1;-61;19;-11;-51;-74;-56;88;-94;18;-65
0;-45;64;62;-96;-19;20;-10;33;77;90
0;52;-56;15;59;99;-77;87;30;-22;56
1;-13;6;100;55;-78;76;-84;3;6;36
1;9;-87;8;-2;6;76;44;19;-21;59
0;68;-6;-8;-64;-86;65;-98;74;65;-59
1;-76;-29;-13;81;90;-39;-25;82;81;53
1;30;-70;0;-66;44;-39;74;-70;68;47
1;-39;54;53;-30;97;-22;-89;-39;52;40
1;30;67;48;33;44;-80;-77;-4;-6;50
0;55;-7;46;49;-49;59;16;-97;-19;-27
0;55;-10;99;-68;-88;-87;20;-13;-31;-16
0;75;-93;-33;8;5;-57;-7;87;12;-43
0;51;28;76;-99;-41;30;-10;61;62;-52
0;-63;52;67;50;89;-29;-6;64;14;84
0;-26;49;90;-52;-36;87;19;-17;-88;-46
1;86;-62;-8;73;-37;10;-24;-16;75;-72
0;-75;-21;82;-36;47;45;81;79;-10;76
0;63;0;59;33;29;-56;-3;72;-39;-3
0;-90;-73;-100;35;45;-21;27;45;-37;29
0;-46;93;14;46;-75;77;-45;-50;13;79
1;-11;-55;8;-22;-3;-12;-39;-22;31;77
1;51;97;-100;-45;-11;-71;-61;67;-5;-72
0;-72;80;23;-58;89;-23;27;99;76;-85
0;-100;-64;-76;12;63;21;11;64;-76;60
0;-85;99;9;32;2;-73;17;68;-84;-2
0;99;38;-65;21;98;-80;92;-31;-22;-44
1;-51;-8;90;26;-2;-80;41;60;21;99
1;-63;48;15;81;-59;17;2;26;98;94
0;-50;-61;36;94;-13;44;-31;-3;-50;96
0;40;-22;18;39;99;-70;-84;-39;-17;-12
1;8;79;-27;59;83;-66;40;-57;-2;-7
1;56;-23;34;-57;44;-43;4;-17;-25;85
1;-77;31;-81;13;-89;84;50;-43;32;-43
0;59;-38;-33;29;-50;-27;-51;69;-25;-10
1;34;-86;-50;-6;-11;-64;33;36;80;52
0;76;84;14;-56;17;79;34;56;-63;52
1;-42;-30;-1;56;35;-43;-100;-37;64;-49
1;-78;23;-24;60;-5;-14;87;-47;-53;51
1;-63;28;-81;-90;33;-91;52;54;-12;-1
1;45;92;-42;70;71;100;-77;-63;-80;63
0;-65;-88;-77;27;-89;49;-98;-24;19;79
0;-12;-96;34;-81;-95;87;-82;-28;81;69
0;-60;-79;57;-70;67;80;36;40;5;-36
0;-25;-84;-83;-79;-15;20;-56;-78;100;50
0;-35;-91;50;-72;-13;57;11;-46;-45;54
0;-91;21;-58;19;-4;-56;79;65;48;-100
1;-30;-5;98;-34;-79;-33;76;-53;-75;59
1;56;51;32;-80;39;-77;80;20;12;-94
0;11;-2;45;-38;87;-31;-45;-75;-28;58
1;12;7;30;-94;14;57;35;6;-15;-61
1;44;28;-7;33;-91;-56;25;20;-17;18
0;15;34;70;7;-23;71;23;72;-10;-61
1;-34;28;17;90;-68;62;87;-54;33;17
0;25;-52;-30;-6;-79;99;-26;-95;-16;40
1;86;92;-31;15;18;-31;99;-64;-82;-70
1;-53;-71;-93;-39;-17;59;-28;51;-55;68
0;79;-29;32;24;64;-34;-74;81;-59;34
1;-59;-60;0;-85;90;9;-39;71;-51;99
1;11;61;32;55;-61;-44;99;-10;37;39
0;0;98;37;-8;59;-67;40;-45;99;21
1;-6;-30;-86;-73;73;-32;-16;78;46;-39
1;37;-12;-72;-84;65;-40;39;80;-93;37
0;37;-25;-16;-76;-23;13;83;-55;91;57
1;89;76;17;62;-50;-4;-52;43;-38;29
0;-1;18;94;26;36;-83;-39;97;9;1
0;27;61;31;18;-81;83;28;80;28;-10
0;19;75;86;73;-92;12;-2;-34;-16;34
1;-95;86;-94;13;85;-100;73;84;84;75
1;-23;-91;-81;14;33;-98;-27;-21;-95;-16
0;-85;-69;-74;-43;30;21;2;68;97;74
0;-29;51;100;7;75;81;-71;16;53;-61
1;-23;54;-90;-61;-69;-77;-84;76;1;24
1;-55;89;-8;-57;25;83;-73;-36;26;39
1;-62;-4;-39;-13;51;71;77;-78;88;-66
1;1;-28;18;-81;-27;73;-33;63;-16;58
0;-43;-98;-5;19;-66;-50;-10;7;4;-40
1;-8;-52;25;83;-40;75;-45;-93;-78;-51
0;2;-36;91;-77;10;83;-31;-83;-4;39
0;-65;100;64;11;79;30;-12;-51;26;-11
1;-70;24;-54;15;-57;-98;13;-9;-66;-86
1;70;-16;8;46;-1;35;18;86;-64;-38
1;-29;-40;65;31;-74;-82;56;-77;87;-45
1;-70;26;28;-29;42;41;63;-97;-33;81
0;30;46;-60;-54;51;-55;41;20;84;57
1;46;-16;52;-70;-20;-26;-29;-88;51;54
0;-77;15;-55;58;40;-11;97;-39;-15;62
1;-86;57;-41;-56;-76;86;-61;44;95;86
0;38;81;-23;28;99;38;-44;41;-52;98
0;27;-23;88;55;-24;-6;72;29;85;44
0;-1;-12;-25;-64;-92;33;-12;69;4;88
0;39;46;-5;-69;87;-70;-48;62;-80;-84
1;-98;65;83;31;68;86;89;-15;-41;59
0;93;28;12;61;-90;-14;-88;59;-42;2
1;84;-93;-49;-30;-41;-66;-16;-25;11;73
0;-92;70;-34;-60;84;66;-10;-73;19;77
0;-72;63;2;-92;37;-4;86;-39;-29;63
1;14;7;-4;35;-76;48;-57;16;-77;41
1;73;65;-39;-7;48;-67;8;-15;31;70
0;2;-4;-68;-21;74;-47;62;-81;15;80
0;-42;27;20;-70;61;48;-56;-64;49;8
1;44;-47;44;27;-76;18;-16;-77;-43;-3
1;39;-34;-58;-57;50;-48;74;46;-68;33
1;10;-84;4;-51;-13;-83;39;-76;76;-32
1;-50;-66;-77;-83;-100;-41;-41;46;-49;69
0;16;43;-4;-16;73;-61;2;65;-82;-31
0;-24;88;-98;-22;-91;4;-83;-60;-50;70
1;-79;9;57;63;33;98;40;-89;-42;-26
0;-74;-57;-77;-44;4;-2;1;-66;19;79
0;-55;-50;74;46;-1;-34;-77;-13;87;-61
1;-61;9;-73;-16;-15;-5;-49;-99;5;-18
1;12;89;76;-50;-64;-35;21;29;19;55
1;86;-6;3;-89;-41;-72;-7;86;-39;50
0;-75;-78;-85;-35;-99;-26;-90;-54;2;19
1;68;77;25;-57;-78;12;-76;13;-80;-63
1;42;52;-15;85;-78;4;57;-24;40;-24
0;-12;100;35;20;22;-54;92;-49;88;-10
1;-17;36;50;23;47;9;76;22;-24;-10
0;1;28;38;69;100;-90;60;-15;59;60
0;49;-62;-35;-39;-80;-54;-3;-27;90;-85
1;-72;76;-1;-67;73;-60;22;-65;46;-10
0;22;84;29;-98;-82;37;-82;67;-48;19
0;-16;51;76;-80;62;-23;54;79;-19;63
1;58;82;77;75;1;-38;-27;2;-9;90
0;-76;-89;100;-62;-26;-58;-86;13;-89;-32
0;74;-86;49;42;-28;-52;-21;-39;-17;-64
0;35;-70;-57;-33;38;-18;91;-24;-85;-54
1;-4;-68;-32;-17;28;79;8;98;-72;-26
1;39;87;-71;78;-44;93;51;93;97;27
1;45;79;41;-64;96;-41;-82;-4;52;26
0;-22;80;-14;67;-100;69;68;-53;23;25
1;48;70;-74;32;-18;-47;-19;-18;31;-46
1;-5;-19;-63;-74;98;93;-59;8;-50;-26
0;-1;4;5;-88;-65;-6;5;-98;-65;13
1;-93;5;-18;-26;53;94;0;-70;66;-3
0;70;-13;54;-24;-49;-48;-9;-6;-9;94
1;19;42;-68;80;-43;-77;64;58;-40;53
0;-69;-6;-49;57;99;-31;-12;22;35;80
0;-25;66;15;36;54;-14;-67;5;68;-41
0;5;12;11;-63;-20;88;59;19;-52;57
0;72;35;87;-93;-15;18;-5;28;25;18
1;-30;-71;67;-63;-72;30;61;-92;-5;54
0;-13;-4;-81;-2;24;76;-95;-99;-66;3
1;-16;-76;60;76;20;10;-82;-55;41;63
0;24;13;-42;-40;-4;13;11;-47;-87;64
1;-85;37;-8;-56;-96;31;94;-8;-3;-62
1;-95;-30;-89;47;-53;-85;22;-35;58;-3
1;88;53;43;-26;65;41;-90;79;-22;-14
0;95;-15;25;-21;12;0;30;-3;-26;30
0;46;-14;-68;-84;78;-2;66;-12;-1;-86
1;24;50;86;95;44;-96;5;27;36;-82
0;27;-97;96;-7;53;2;89;-4;-21;-69
1;47;74;-41;39;-90;-30;-10;-32;-34;-98
1;28;3;41;7;46;-13;-55;-3;62;-48
1;-95;20;23;50;4;31;-88;-94;-94;-65
1;-97;29;18;99;-18;33;-3;85;57;58
1;38;-34;62;63;-38;-80;-56;-74;-3;-3
1;-55;26;-62;-87;-41;12;-49;-51;-42;-5
0;13;-98;-62;58;-58;-58;79;28;-48;94
1;36;59;24;49;-29;-72;-48;-53;99;-69
0;80;33;-96;29;-96;-75;-51;39;-44;25
1;32;96;8;11;12;16;-41;-14;-3;75
1;-63;-23;-67;32;-90;7;84;-37;86;98
0;-5;-57;-18;79;45;-17;-85;38;82;65
0;89;66;-34;4;-34;27;16;-34;73;22
1;18;20;17;-67;0;-86;35;74;-27;-43
0;-67;-57;-68;37;-52;61;54;75;-65;60
1;-83;-100;-98;-27;-99;-17;27;-16;68;-92
0;100;44;77;84;-4;85;50;83;65;-14
1;-11;-94;-31;81;73;23;-27;-100;-50;89
0;-2;80;78;2;-3;-50;-46;-10;49;81
1;63;28;-97;-4;-23;69;-83;-11;-49;16
0;-49;81;87;-1;-100;39;20;22;94;-6
0;-100;-83;-4;70;98;-22;70;-49;28;-22
0;-78;61;45;-97;-98;-69;4;66;4;-51
1;-14;-4;-23;97;69;-67;33;-50;52;-96
0;-92;-79;15;85;97;-78;-32;33;7;-53
0;4;-70;-25;-89;-63;97;-63;-76;-11;-6
1;33;-14;10;10;97;72;-69;-33;-74;37
1;63;84;-21;-30;2;-70;8;93;-21;57
0;-59;-49;57;-61;44;-57;-32;-56;-14;47
0;35;-70;-77;-83;27;35;89;-66;33;88
1;96;-79;14;23;30;-64;23;-8;63;22
1;-82;67;65;6;-65;95;52;-77;-23;15
0;-51;-98;29;55;-75;42;-86;-90;-32;86
0;43;-23;-84;50;-71;-14;2;-68;-81;-9
0;50;59;-52;-56;-62;-17;95;-3;-51;-53
1;-78;81;-30;12;92;13;21;-44;-11;6
0;-57;-92;-59;-66;29;48;-98;-12;-36;73
0;13;-26;-86;63;-19;81;-19;-37;9;-63
0;-38;77;23;-89;-10;21;-73;8;-56;3
0;-85;15;51;-57;-55;-100;34;11;-7;76
1;8;12;-83;-88;-58;-30;100;83;48;15
0;92;-92;38;-69;76;94;30;74;-82;-6
1;12;41;100;67;-87;11;48;-88;-56;-86
1;-7;59;32;22;-28;14;81;-45;-1;12
0;7;27;83;-66;-67;17;53;54;67;16
1;0;54;40;55;6;50;42;84;-46;-97
0;74;-24;44;-21;-22;76;-81;-47;-25;-91
1;-97;-4;92;-34;-21;41;48;-4;90;7
1;-3;-75;7;-17;98;36;16;-69;92;-79
0;53;35;49;52;-65;-50;-93;68;-89;-18
0;20;-11;26;-10;-29;-23;34;-3;-73;-78
0;-42;97;-48;-25;92;-91;10;32;-61;0
0;-67;-89;36;40;-2;-16;61;-44;-4;45
1;78;39;70;-44;53;-46;11;-27;37;-68
0;11;-56;-52;-81;73;84;-71;-73;-46;53
1;63;34;-38;-50;-46;79;79;98;13;-22
1;-47;-33;45;-99;-56;-80;31;75;-98;59
1;66;-85;-10;29;-85;83;79;52;90;-68
1;-46;52;-33;13;-36;96;38;-77;-87;82
1;93;-79;24;51;-77;-77;-59;73;-89;27
0;-35;92;2;-12;96;20;54;8;-7;50
0;1;27;73;-44;-10;-63;-29;-71;20;-80
0;-90;68;-28;-82;77;-71;-88;63;-67;-31
1;-96;-60;12;94;-55;61;-75;65;0;69
1;-87;33;-44;-93;-21;-41;41;100;-98;-48
0;68;23;79;1;81;-32;84;-46;-45;-91
1;36;53;-11;26;-4;53;-68;94;-31;-5
0;-62;-8;30;-78;-13;-79;-69;-81;-13;49
1;28;-69;-2;72;-39;82;54;-17;-48;89
1;-51;8;81;51;-25;-89;68;46;14;62
0;52;-43;-3;-69;-84;-15;-20;-25;24;17
0;-96;64;-46;1;41;37;-68;-7;80;98
1;-79;51;-100;-86;-65;-13;-70;-92;82;-15
1;-64;-69;-49;-9;77;-77;87;66;-13;64
1;28;44;11;-2;60;10;92;-55;-94;0
0;-90;7;-50;34;-65;-1;-98;-68;55;-71
1;38;-63;43;-100;25;-86;-2;-27;34;77
1;-56;49;-62;45;-84;25;28;90;64;-60
0;-12;-45;92;-74;57;75;82;-3;24;60
0;75;54;35;88;59;46;-91;-2;6;55
0;-88;-9;71;26;-31;78;18;-28;-100;37
0;-12;-92;22;-8;61;-13;30;58;56;-19
1;24;-79;-59;23;32;94;-93;-48;1;47
0;-19;-10;-27;-57;71;-6;-84;77;60;-23
0;12;-53;92;-57;-59;19;30;31;-53;45
1;0;32;-94;-100;56;-61;-51;27;83;-88
1;34;-13;25;-94;68;-95;-73;1;-54;-85
1;50;24;33;45;-3;-39;-35;11;53;34
0;-26;62;16;-92;-16;75;-40;-43;-93;-8
1;72;6;-43;-6;-9;-73;17;48;-20;58
0;-37;-82;24;-65;-70;86;80;-15;40;-87
1;-21;24;39;-56;60;45;91;82;-82;-83
0;-79;-61;-67;-10;-19;-31;44;-8;51;-23
0;25;90;-37;50;-12;21;-74;69;-23;0
1;61;68;-20;21;-59;37;-78;-7;-81;0
0;67;-77;-84;-37;71;6;47;-35;13;-87
1;60;-4;68;-84;-43;86;58;-83;38;-4
0;43;32;71;35;53;39;-18;62;-57;63
0;-10;-7;48;78;83;-81;0;22;87;41
0;47;-55;-41;-46;-62;43;63;-94;32;17
1;47;-89;-78;50;45;77;88;83;-84;4
1;-70;1;-48;22;-53;-12;100;71;4;88
1;54;-5;25;-15;55;-33;11;-20;-38;-86
1;-8;-85;65;-2;-70;32;73;-55;-61;-56
1;29;45;-19;39;-85;-27;89;65;-18;3
1;-40;66;-100;-22;81;3;-13;-55;16;-78
0;39;-85;85;67;-24;-8;-52;-26;68;81
0;54;5;-93;-33;-12;93;81;-62;73;-18
0;-62;-78;-53;-69;-76;-95;31;-75;41;41
1;50;100;62;-90;48;98;-92;-91;-93;-60
1;11;29;45;-66;6;-27;20;36;2;-88
1;98;1;-96;-43;-74;-96;94;93;-2;34
0;100;-86;73;-10;0;95;-79;76;71;-72
0;-57;69;-70;18;34;92;-48;56;-81;69
0;-18;74;88;25;89;82;-68;58;71;4
1;-55;30;-35;-65;-58;27;-98;86;-25;62
0;-35;-41;43;-14;53;-99;-43;56;14;-74
1;-92;-42;-24;-92;32;-85;28;37;-27;-67
0;-44;38;-40;-62;63;-63;25;-25;-51;81
1;52;-12;-80;2;39;29;40;30;20;88
1;7;87;-63;-88;-87;-9;21;88;-45;-34
1;-41;-75;-67;-58;-7;24;-14;82;55;24
0;50;76;30;-56;95;11;-46;-6;-71;-28
1;-64;90;56;-71;80;57;86;-93;66;-74
0;-65;-48;36;-18;-91;-74;-73;-81;-9;-40
0;-8;88;-1;-97;-30;-82;-83;-53;-66;87
0;-35;-21;35;26;42;93;51;74;46;30
1;67;-31;-54;61;-96;82;-36;-62;43;-21
1;28;-20;45;-11;32;30;92;96;-26;-25
1;-84;-34;3;70;5;-31;-11;52;-29;-85
0;10;-17;-42;68;28;-5;2;67;-18;34
0;-88;-91;-65;6;-98;-56;-80;-63;-12;86
1;-11;30;-66;-96;-73;-36;5;58;3;6
1;4;74;-26;-55;29;34;-68;66;47;29
1;-65;61;-72;29;14;-78;22;97;27;1
0;52;52;-70;62;-92;-25;42;-71;29;61
1;3;30;-76;-34;78;86;-58;-66;4;-40
1;37;-81;-58;-78;-96;71;6;82;21;-74
0;63;-63;16;-50;53;-35;15;67;42;-33
0;-3;-79;-8;44;44;-63;-75;65;-67;-56
0;74;-81;-34;-61;84;-46;76;93;-45;-8
0;97;-66;31;-41;-37;-63;48;32;-96;89
0;-64;-44;-86;1;-86;-84;-34;-40;32;85
0;62;73;-90;11;57;27;13;-36;45;-77
1;76;46;45;-39;52;-70;-60;-19;-34;-42
1;71;-10;51;-85;11;76;-10;-8;-2;55
1;-52;-91;-78;-22;-52;38;97;43;38;-26
0;-30;-47;-53;-23;-46;-45;-76;-35;-91;-79
1;84;93;-22;-79;38;-45;86;55;-90;-3
0;76;34;73;85;-79;59;64;-42;69;61
0;-55;48;-16;82;-13;-81;-60;100;79;-92
0;97;78;60;6;-25;-39;27;57;-26;-84
0;-4;59;-88;-28;-83;22;-71;31;47;-12
